cbsa,cbsa_name,year,num_quant,min,jobs,cluster_jobs,tr_ct,high_ct,cluster_ct,cluster_share,job_share
29820,"Las Vegas-Henderson-Paradise, NV",2010,95th percentile,0,806758,348054,487,0,24,0.049281314168377825,43.1423053753418
29820,"Las Vegas-Henderson-Paradise, NV",2010,80th percentile,0,806758,582267,487,0,97,0.19917864476386038,72.17368777254146
29820,"Las Vegas-Henderson-Paradise, NV",2015,90th percentile,0,911758,524134,487,0,48,0.09856262833675565,57.4860873170293
29820,"Las Vegas-Henderson-Paradise, NV",2015,95th percentile,0,911758,405704,487,0,24,0.049281314168377825,44.49689500942136
29820,"Las Vegas-Henderson-Paradise, NV",2015,80th percentile,0,911758,659038,487,0,97,0.19917864476386038,72.28211872009898
30780,"Little Rock-North Little Rock-Conway, AR",2010,90th percentile,0,329639,135784,164,0,16,0.0975609756097561,41.19172792054338
30780,"Little Rock-North Little Rock-Conway, AR",2010,95th percentile,0,329639,95465,164,0,8,0.04878048780487805,28.960468876558902
30780,"Little Rock-North Little Rock-Conway, AR",2010,80th percentile,0,329639,186129,164,0,32,0.1951219512195122,56.464496009270746
30780,"Little Rock-North Little Rock-Conway, AR",2015,90th percentile,0,344949,135575,164,0,16,0.0975609756097561,39.30291144488026
30780,"Little Rock-North Little Rock-Conway, AR",2015,95th percentile,0,344949,91743,164,0,8,0.04878048780487805,26.59610551124949
30780,"Little Rock-North Little Rock-Conway, AR",2015,80th percentile,0,344949,186522,164,0,32,0.1951219512195122,54.072341128688585
31080,"Los Angeles-Long Beach-Anaheim, CA",2010,90th percentile,0,5565892,2430344,2925,0,292,0.09982905982905983,43.664950739252575
31080,"Los Angeles-Long Beach-Anaheim, CA",2010,95th percentile,0,5565892,1532241,2925,0,146,0.049914529914529916,27.52911842342611
31080,"Los Angeles-Long Beach-Anaheim, CA",2010,80th percentile,0,5565892,3449717,2925,0,585,0.2,61.97958925541494
31080,"Los Angeles-Long Beach-Anaheim, CA",2015,90th percentile,0,6020553,2736449,2921,0,292,0.0999657651489216,45.451788232742075
31080,"Los Angeles-Long Beach-Anaheim, CA",2015,95th percentile,0,6020553,1794437,2921,0,146,0.0499828825744608,29.80518566982136
31080,"Los Angeles-Long Beach-Anaheim, CA",2015,80th percentile,0,6020553,3747517,2921,0,584,0.1999315302978432,62.245395065868536
31140,"Louisville/Jefferson County, KY-IN",2010,90th percentile,0,574040,248287,305,0,30,0.09836065573770492,43.25256079715699
31140,"Louisville/Jefferson County, KY-IN",2010,95th percentile,0,574040,175366,305,0,15,0.04918032786885246,30.5494390634799
31140,"Louisville/Jefferson County, KY-IN",2010,80th percentile,0,574040,341648,305,0,61,0.2,59.516410006271336
31140,"Louisville/Jefferson County, KY-IN",2015,90th percentile,0,634061,297462,305,0,30,0.09836065573770492,46.91378274330072
31140,"Louisville/Jefferson County, KY-IN",2015,95th percentile,0,634061,182031,305,0,15,0.04918032786885246,28.708751997047603
31140,"Louisville/Jefferson County, KY-IN",2015,80th percentile,0,634061,375708,305,0,61,0.2,59.25423579119359
31540,"Madison, WI",2010,90th percentile,0,344197,114644,131,0,13,0.09923664122137404,33.307669735645575
31540,"Madison, WI",2010,95th percentile,0,344197,65101,131,0,6,0.04580152671755725,18.913877808348126
31540,"Madison, WI",2010,80th percentile,0,344197,181014,131,0,26,0.1984732824427481,52.59023175681369
31540,"Madison, WI",2015,90th percentile,0,381700,98754,131,0,13,0.09923664122137404,25.872150903851193
31540,"Madison, WI",2015,95th percentile,0,381700,61509,131,0,6,0.04580152671755725,16.114487817657846
31540,"Madison, WI",2015,80th percentile,0,381700,158475,131,0,26,0.1984732824427481,41.5182080167671
32580,"McAllen-Edinburg-Mission, TX",2010,90th percentile,0,216901,67695,113,0,11,0.09734513274336283,31.210091239782205
32580,"McAllen-Edinburg-Mission, TX",2010,95th percentile,0,216901,30066,113,0,5,0.04424778761061947,13.861623505654652
32580,"McAllen-Edinburg-Mission, TX",2010,80th percentile,0,216901,109403,113,0,22,0.19469026548672566,50.43914043734238
32580,"McAllen-Edinburg-Mission, TX",2015,90th percentile,0,247365,83205,113,0,11,0.09734513274336283,33.63652901582682
32580,"McAllen-Edinburg-Mission, TX",2015,95th percentile,0,247365,34171,113,0,5,0.04424778761061947,13.813999555313
32580,"McAllen-Edinburg-Mission, TX",2015,80th percentile,0,247365,127435,113,0,22,0.19469026548672566,51.51698906474238
32820,"Memphis, TN-MS-AR",2010,90th percentile,0,570953,252817,313,0,31,0.09904153354632587,44.27982688592581
32820,"Memphis, TN-MS-AR",2010,95th percentile,0,570953,152913,313,0,15,0.04792332268370607,26.782064373074494
32820,"Memphis, TN-MS-AR",2010,80th percentile,0,570953,376549,313,0,62,0.19808306709265175,65.95096268869767
32820,"Memphis, TN-MS-AR",2015,90th percentile,0,602488,284160,313,0,31,0.09904153354632587,47.1644248516153
32820,"Memphis, TN-MS-AR",2015,95th percentile,0,602488,146751,313,0,15,0.04792332268370607,24.35749757671522
32820,"Memphis, TN-MS-AR",2015,80th percentile,0,602488,378318,313,0,62,0.19808306709265175,62.79261993599873
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2010,90th percentile,0,2118833,863179,1211,0,121,0.09991742361684558,40.73841591102272
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2010,95th percentile,0,2118833,509711,1211,0,60,0.0495458298926507,24.05621396306363
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2010,80th percentile,0,2118833,1240757,1211,0,242,0.19983484723369116,58.55850838645613
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2015,90th percentile,0,2471380,986222,1212,0,121,0.09983498349834984,39.905720690464435
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2015,95th percentile,0,2471380,620986,1212,0,60,0.04950495049504951,25.127094983369613
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2015,80th percentile,0,2471380,1437134,1212,0,242,0.19966996699669967,58.151073489305574
33340,"Milwaukee-Waukesha-West Allis, WI",2010,90th percentile,0,794235,344377,429,0,42,0.0979020979020979,43.35958500947453
33340,"Milwaukee-Waukesha-West Allis, WI",2010,95th percentile,0,794235,234974,429,0,21,0.04895104895104895,29.58494652086599
